state,year,total_enrolment,demographic_update_rate,biometric_update_rate,child_transition_risk,demographic_update_rate_norm,biometric_update_rate_norm,child_transition_risk_norm,aadhaar_exclusion_risk_index
andaman and nicobar islands,2025,173,25.947976878612717,95.26589595375722,759.25,0.33446291745402373,1.0,0.0,0.3055337561326651
andhra pradesh,2025,41948,36.95287022027272,69.99206160007628,336.79204950309395,0.48006832166316016,0.7325182456329722,0.5568529588355176,0.8038035123828937
arunachal pradesh,2025,2027,10.821904292057228,28.031080414405526,28.785326086956523,0.1343303178290347,0.2884306289524269,0.9628447387837212,0.6042824080287155
assam,2025,145039,4.019856728190349,4.875412820000138,10.468932308547087,0.0443326364124139,0.043366168015607456,0.9869880601692148,0.3611098681225076
bihar,2025,302969,9.575600143909114,13.34723684601395,10.528171743889091,0.11784050610394836,0.13302641985772165,0.9869099751081782,0.49203254756550624
chandigarh,2025,890,76.24943820224719,74.60224719101123,583.7272727272727,1.0,0.7813094386337792,0.23136113288845195,0.911980089134252
chhattisgarh,2025,39731,35.81457803730085,51.07072562986082,75.24226935854843,0.4650076129162347,0.5322671848142536,0.9016086174400203,1.0
dadra and nagar haveli and daman and diu,2025,1074,6.572625698324022,29.370577281191807,69.08695652173913,0.07810824388166238,0.30260698885426146,0.9097220975194077,0.5136553238734664
delhi,2025,56069,21.738340259323333,19.851290374360165,31.202714565466945,0.27876534524722624,0.20186107406624412,0.9596583153175986,0.6473309588896313
goa,2025,773,26.548512289780078,70.53557567917206,226.03508771929825,0.34240858294756443,0.7382704436321074,0.7028446292689768,0.854183353923501
gujarat,2025,167099,7.697694181293724,16.210605688843142,24.582097595050396,0.09299399026192243,0.1633304453871242,0.9683851250390316,0.4765830793015977
haryana,2025,43890,20.52948279790385,29.742948279790387,97.08375634517766,0.26277098947869826,0.3065479202771203,0.8728187777895506,0.6255777746109451
himachal pradesh,2025,5114,17.65584669534611,59.50097770825186,697.9791666666666,0.22474999888182148,0.6214874663168071,0.08076270026840082,0.0
jammu and kashmir,2025,13757,21.072835647306825,43.00167187613579,107.76283252154364,0.2699600742621018,0.4468695904514545,0.8587424060241604,0.7289438192438729
jharkhand,2025,66361,14.600141649462786,25.72848510420277,27.96883669668985,0.18432005971417617,0.2640614642047509,0.9639209749683948,0.6260050817316545
karnataka,2025,97668,12.201795879919729,21.739064995699717,51.60220764344476,0.15258762084667568,0.22184004759670542,0.9327692058432586,0.5332795244524909
kerala,2025,21678,18.1892702278808,60.32189316357598,88.24650698602794,0.2318077091801444,0.6301754992881524,0.8844673890840512,0.8730254967263126
ladakh,2025,180,22.466666666666665,23.533333333333335,53.96875,0.2884018094677343,0.24082941169711355,0.9296498039905835,0.6542305681889845
lakshadweep,2025,67,7.2835820895522385,56.014925373134325,321.4,0.08751488595496376,0.5845933654311333,0.5771416249578123,0.39157761389187273
madhya pradesh,2025,232899,9.57532235003156,21.713103104779325,40.91321316014256,0.11783683062172674,0.221565283901063,0.946858651190428,0.5202408687910559
maharashtra,2025,172465,16.3919056040356,40.246368828457946,54.00723059499956,0.2080268333060029,0.4177092627112219,0.9295990817041215,0.7316591968428374
manipur,2025,6517,25.57633880619917,32.852692956882,28.683110171482266,0.32954578558610903,0.33945942670791424,0.9629794722759065,0.8021340306540476
meghalaya,2025,94116,0.6691848357346254,0.7778273619788346,0.5973901973265436,0.0,0.0,1.0,0.30462682282811165
mizoram,2025,3399,9.229479258605473,31.875551632833186,99.23037323037323,0.11326099135126301,0.32911800118602735,0.869989265497022,0.5206297602550527
nagaland,2025,11266,1.9814486064264158,7.893573584235754,3.283825597749648,0.0173625214555475,0.0753084101337645,0.9964589386951139,0.3752407277041021
odisha,2025,43305,16.25495901166147,45.61002193742062,108.94271992503221,0.20621489716826552,0.4744746637708576,0.857187165340555,0.6982623239882411
puducherry,2025,1175,15.917446808510638,43.74212765957447,322.4561403508772,0.2017492836234931,0.45470609081043334,0.5757494985257263,0.37751975292367795
punjab,2025,39931,15.391825899676943,36.265783476496956,73.88911917098446,0.1947948095985809,0.3755813473957071,0.9033922403658228,0.6591561869058371
rajasthan,2025,154860,13.73456670541134,20.167686943045332,32.614772252402844,0.17286766433976533,0.2052096086844308,0.95779704486431,0.5630026071871645
sikkim,2025,1214,11.721581548599671,16.528830313014826,16.46031746031746,0.1462339198476681,0.16669832695052592,0.9790906574919489,0.5334935061429864
tamil nadu,2025,74674,17.849532635187614,49.78526662559927,124.43754560046695,0.2273126515750092,0.5186627263527819,0.836763027236733,0.7288152561328968
telangana,2025,53952,18.74147390272835,23.897853647686834,61.58852024495019,0.23911389896188198,0.2446872566058539,0.9196059840043422,0.6070030340240943
tripura,2025,4682,18.348141819735154,53.02349423323366,77.7155119558553,0.23390973430943227,0.5529340121976082,0.898348571187823,0.8275567814801544
uttar pradesh,2025,557687,9.94834199111688,13.457824908954306,17.906148053350694,0.12277224198210457,0.1341968116816686,0.9771848700810162,0.48652095626669173
uttarakhand,2025,14467,22.973595078454412,38.17418953480335,123.88797577854672,0.29510896364105377,0.3957786705789269,0.8374874297034473,0.685361272572377
west bengal,2025,164867,14.664323363681028,12.263509374222858,18.43912870937872,0.1851692459944471,0.12155695616836237,0.9764823342310879,0.5257184598043124
